basin_name,wikipedia_link
Armeria,https://en.wikipedia.org/wiki/Armer%C3%ADa_River
Ca,https://en.wikipedia.org/wiki/C%E1%BA%A3_River
Chao Phraya,https://en.wikipedia.org/wiki/Chao_Phraya_River
Krishna,https://en.wikipedia.org/wiki/Krishna_River
Senegal,https://en.wikipedia.org/wiki/Senegal_River
Papaloapan,https://en.wikipedia.org/wiki/Papaloapan_River
Grisalva,https://en.wikipedia.org/wiki/Grijalva_River
Verde,https://en.wikipedia.org/wiki/Verde_River
Mae Klong,https://en.wikipedia.org/wiki/Mae_Klong
Tranh (Nr Thu Bon),https://en.wikipedia.org/wiki/Thu_Bon_River
Penner,https://en.wikipedia.org/wiki/Penner_River
Volta,https://en.wikipedia.org/wiki/Volta_River
Lempa,https://en.wikipedia.org/wiki/Lempa_River
Gambia,https://en.wikipedia.org/wiki/Gambia_River
Grande De Matagalpa,https://en.wikipedia.org/wiki/R%C3%ADo_Grande_de_Matagalpa
Cauvery,https://en.wikipedia.org/wiki/Kaveri
San Juan,https://en.wikipedia.org/wiki/San_Juan_River_(Nicaragua%E2%80%93Costa_Rica)
Geba,https://en.wikipedia.org/wiki/Geba_River
Corubal,https://en.wikipedia.org/wiki/Corubal_River
Magdalena,https://en.wikipedia.org/wiki/Magdalena_River
Comoe,https://en.wikipedia.org/wiki/Como%C3%A9_River
Orinoco,https://en.wikipedia.org/wiki/Orinoco
Bandama,https://en.wikipedia.org/wiki/Bandama_River
Oueme,https://en.wikipedia.org/wiki/Ou%C3%A9m%C3%A9_River
Sassandra,https://en.wikipedia.org/wiki/Sassandra_River
Shebelle,https://en.wikipedia.org/wiki/Shebelle_River
Mono,https://en.wikipedia.org/wiki/Mono_River
Congo,https://en.wikipedia.org/wiki/Congo_River
Atrato,https://en.wikipedia.org/wiki/Atrato_River
Cuyuni,https://en.wikipedia.org/wiki/Cuyuni_River
Cavally,https://en.wikipedia.org/wiki/Cavalla_River
Tano,https://en.wikipedia.org/wiki/Tano_River
Cross,https://en.wikipedia.org/wiki/Cross_River
Sanaga,https://en.wikipedia.org/wiki/Sanaga_River
Pra,https://en.wikipedia.org/wiki/Pra_River
Davo,https://en.wikipedia.org/wiki/Davo_River
Essequibo,https://en.wikipedia.org/wiki/Essequibo_River
Kelantan,https://en.wikipedia.org/wiki/Kelantan_River
Corantijn,https://en.wikipedia.org/wiki/Courantyne_River
Coppename,https://en.wikipedia.org/wiki/Coppename_River
Kinabatangan,https://en.wikipedia.org/wiki/Kinabatangan_River
Maroni,https://en.wikipedia.org/wiki/Maroni_River
San Juan (Columbia - Pacific),https://en.wikipedia.org/wiki/San_Juan_River_(Colombia)
Amazonas,https://en.wikipedia.org/wiki/Amazon_River
Pahang,https://en.wikipedia.org/wiki/Pahang_River
Nyong,https://en.wikipedia.org/wiki/Nyong_River
Oyapock,https://en.wikipedia.org/wiki/Oyapock_River
Rajang,https://en.wikipedia.org/wiki/Rajang_River
Ntem,https://en.wikipedia.org/wiki/Ntem_River
Ogooue,https://en.wikipedia.org/wiki/Ogoou%C3%A9_River
Rio Araguari,https://en.wikipedia.org/wiki/Araguari_River
Mira,https://en.wikipedia.org/wiki/M%C3%ADra_River
Esmeraldas,https://en.wikipedia.org/wiki/Esmeraldas_River
Tana,https://en.wikipedia.org/wiki/Tana_River_(Kenya)
Daule & Vinces,https://en.wikipedia.org/wiki/Daule_River
Rio Gurupi,https://en.wikipedia.org/wiki/Gurupi_River
Rio Capim,https://en.wikipedia.org/wiki/Capim_River
Tocantins,https://en.wikipedia.org/wiki/Tocantins_River
Kouilou,https://en.wikipedia.org/wiki/Kouilou_River
Nyanga,https://en.wikipedia.org/wiki/Nyanga_River
Rio Parnaiba,https://en.wikipedia.org/wiki/Parna%C3%ADba_River
Rio Itapecuru,https://en.wikipedia.org/wiki/Itapecuru_River
Rio Acarau,https://en.wikipedia.org/wiki/Acara%C3%BA_River
Pangani,https://en.wikipedia.org/wiki/Pangani_River
Rio Pindare,https://en.wikipedia.org/wiki/Pindar%C3%A9_River
Sepik,https://en.wikipedia.org/wiki/Sepik_River
Rio Mearim,https://en.wikipedia.org/wiki/Mearim_River
Chira,https://en.wikipedia.org/wiki/Chira_River
Rufiji,https://en.wikipedia.org/wiki/Rufiji_River
Rio Jaguaribe,https://en.wikipedia.org/wiki/Jaguaribe_River
Purari,https://en.wikipedia.org/wiki/Purari_River
Ruvu,https://en.wikipedia.org/wiki/Ruvu_River
Rio Paraiba,https://en.wikipedia.org/wiki/Para%C3%ADba_do_Sul
Solo (Bengawan Solo),https://en.wikipedia.org/wiki/Solo_River
Sao Francisco,https://en.wikipedia.org/wiki/S%C3%A3o_Francisco_River
Brantas,https://en.wikipedia.org/wiki/Brantas_River
Santa,https://en.wikipedia.org/wiki/Santa_River
Zambezi,https://en.wikipedia.org/wiki/Zambezi
Rio Vaza-Barris,https://en.wikipedia.org/wiki/Vaza-Barris_River
Rio Itapicuru,https://en.wikipedia.org/wiki/Itapicuru_River
Rio Paraguacu,https://en.wikipedia.org/wiki/Paragua%C3%A7u_River
Canete,https://en.wikipedia.org/wiki/Ca%C3%B1ete_River
Rio De Contas,https://en.wikipedia.org/wiki/Contas_River
Roper,https://en.wikipedia.org/wiki/Roper_River
Daly,https://en.wikipedia.org/wiki/Daly_River_(Northern_Territory)
Drysdale,https://en.wikipedia.org/wiki/Drysdale_River
Parana,https://en.wikipedia.org/wiki/Paran%C3%A1_River
Durack,https://en.wikipedia.org/wiki/Durack_River
Rio Prado,https://en.wikipedia.org/wiki/Jequitinhonha_River
Victoria,https://en.wikipedia.org/wiki/Victoria_River_(Northern_Territory)
Mitchell(N. Au),https://en.wikipedia.org/wiki/Mitchell_River_(Queensland)
Majes,https://en.wikipedia.org/wiki/Majes_River
Ord,https://en.wikipedia.org/wiki/Ord_River
Jequitinhonha,https://en.wikipedia.org/wiki/Jequitinhonha_River
Macarthur,https://en.wikipedia.org/wiki/McArthur_River_(Northern_Territory)
Fitzroy,https://en.wikipedia.org/wiki/Fitzroy_River_(Western_Australia)
Gilbert,https://en.wikipedia.org/wiki/Gilbert_River_(Queensland)
Mucuri,https://en.wikipedia.org/wiki/Mucuri_River
Rio Doce,https://en.wikipedia.org/wiki/Rio_Doce
Save,https://en.wikipedia.org/wiki/Save_River_(Africa)
Burdekin,https://en.wikipedia.org/wiki/Burdekin_River
